55,"University of Mkar, Mkar",Prof. Zacharys A. Gundu,https://www.unimkar.edu.ng,2005
56,"Veritas University, Abuja",Prof. Yacinth E. Ichoku,https://www.veritas.edu.ng,2007
57,"Wellspring University, Evbuobanosa - Edo State",Professor F E Obi Ikediugwu,https://www.wellspringuniversity.net,2009
58,Wesley University Ondo,Professor Tola Badejo,https://www.wesleyuni.edu.ng,2007
59,"Western Delta University, Oghara Delta State",Prof. (Mrs) Olete Okobiah,https://wdu.edu.ng,2007
60,Christopher University Mowe,Prof. Oyelana Olatunji,https://www.christopheruniversity.edu.ng/,2015
61,"Kola Daisi University Ibadan, Oyo State",Prof. Kolade Ayorinde,https://www.koladaisiuniversity.edu.ng/,2016
62,Anchor University Ayobo Lagos State,Prof. J O Afolayan,https://www.aul.edu.ng/,2016
63,Dominican University Ibadan Oyo State,Prof. Anthony Akinwole,https://www.dui.edu.ng/,2016
64,"Legacy University, Okija Anambra State",Prof. Moses Nkem Chendo,https://www.legacyuniversity.edu.ng/,2016
65,Arthur Javis University Akpoyubo Cross river State,Prof. Julian Osuji,https://www.arthurjarvisuniversity.edu.ng/,2016
66,"Crown Hill University Eiyenkorin, Kwara State",Prof John Adesiji Olorunmaiye,https://www.crownhilluniversity.edu.ng/,2016
67,Coal City University Enugu State,Prof. Afam Icha-Ituma,https://www.ccu.edu.ng/,2016
68,Clifford University Owerrinta Abia State,Prof. Chimezie A Omeonu,https://www.clifforduni.edu.ng/,2016
69,"Admiralty University of Nigeria, Ibusa Delta State",Prof. Paul Omojo Omaji,https://www.adun.edu.ng,2017
70,"Spiritan University, Nneochi Abia State",Prof. Remy Onyewuenyi,https://www.spiritanuniversity.edu.ng,2017
71,"Precious Cornerstone University, Oyo",Prof. Julius Kolawole Oloke,https://www.pcu.edu.ng,2017
72,"PAMO University of Medical Sciences, Portharcourt",Prof. Michael Diejomaoh,https://www.pums.edu.ng,2017
73,Atiba University Oyo,Prof Sunday Okeniyi,,2017
74,"Eko University of Medical and Health Sciences Ijanikin, Lagos",Professor Muheez Alani Durosinmi,https://www.ekounivmed.edu.ng,2017
75,"Skyline University, Kano",Dr. Ajith Kumar V V,https://www.sun.edu.ng,2018
76,"Greenfield University, Kaduna",Prof. Simon Katung,https://www.gfu.edu.ng,2019
77,"Dominion University Ibadan, Oyo State",Prof Olajide A. Olorunisola,https://www.dominionuniversity.edu.ng/,2019
78,Trinity University Ogun State,Professor Charles Korede Ayo,https://www.trinityuniversity.edu.ng/,2019
79,"Westland University Iwo, Osun State",Prof. Oshiotse A. Okwilagwe,,2019
80,"Topfaith University, Mkpatak, Akwa Ibom State",Prof. Patrick James Ebewo,,2021
81,"Thomas Adewumi University, Oko-Irese, Kwara State",Professor Francisca Oladipo,https://www.tau.edu.ng/,2021
82,"Maranathan University, Mgbidi, Imo State",,,2021
83,"Ave Maria University, Piyanko, Nasarawa State",,,2021
84,"Al-Istiqama University, Sumaila, Kano State",,,2021
85,"Mudiame University, Irrua, Edo State",,,2021
86,"Havilla University, Nde-Ikom, Cross River State",,,2021
87,"Claretian University of Nigeria, Nekede, Imo State",,,2021
